article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url
OA422P04N-K11,Poloshirt - white cobalt,MEN,T_SHIRT_TOP,Poloshirt,State of Art,7995,7995,https://www.zalando.nl/state-of-art-poloshirt-white-cobalt-oa422p04n-k11.html,https://img01.ztat.net/article/spp-media-p1/f6de5143d5514526b623c8e73fb28e9e/897eb3ef47e749ceb1d2c8e3998de34d.jpg?imwidth=103&filter=packshot
DE421000Q-A11,T-shirt print - white,MEN,T_SHIRT_TOP,T-shirt print,Denham,3495,3495,https://www.zalando.nl/denham-small-tiger-t-shirt-print-white-de421000q-a11.html,https://img01.ztat.net/article/spp-media-p1/000b076d3bcb430197c49c3c932e63b2/1e01a1f65db04750815cda1e0fe83a99.jpg?imwidth=103&filter=packshot
TRU21S01B-K11,PARENT - Jeansshort - blue,WOMEN,TROUSER,PARENT,Trendyol,5499,5499,https://www.zalando.nl/trendyol-jeansshort-blue-tru21s01b-k11.html,https://img01.ztat.net/article/spp-media-p1/6e011799d15e45448b123b7d4dada6c9/5626a3f1d38b466cbfef767dd4423dfd.jpg?imwidth=103
BEJ21A0JY-Q11,LOOP - Broek - black,WOMEN,TROUSER,LOOP,Bershka,2599,2599,https://www.zalando.nl/bershka-with-belt-loops-broek-black-bej21a0jy-q11.html,https://img01.ztat.net/article/spp-media-p1/dbe4b61d682647ada50a0fe883c6cb1c/3831fb0408644e4f8b5f64c124511af1.jpg?imwidth=103&filter=packshot
PUC21A0LL-Q11,REGULAR FIT MIT ZIERNAHT VORNE - Broek - black,WOMEN,TROUSER,REGULAR FIT MIT ZIERNAHT VORNE,PULL&BEAR,2599,2599,https://www.zalando.nl/pullandbear-regular-fit-mit-ziernaht-vorne-broek-black-puc21a0ll-q11.html,https://img01.ztat.net/article/spp-media-p1/743cbfb66d894d2bb7a62d2687ddbf52/e83c27c1edb54c218ce9896fa698a491.jpg?imwidth=103&filter=packshot
JA222G0VC-K11,JJIGLENN JJORIGINAL - Slim fit jeans - blue denim,MEN,TROUSER,JJIGLENN JJORIGINAL,Jack & Jones,3899,3119,https://www.zalando.nl/jack-and-jones-jjiglenn-jjoriginal-slim-fit-jeans-blue-denim-ja222g0vc-k11.html,https://img01.ztat.net/article/spp-media-p1/1278064345fc49d59f6e15a223341c4c/eb4af16bdb3c4f21ae2ca1d8af662e28.jpg?imwidth=103&filter=packshot
PUC21N0EY-K11,Super high waist stretchy skinny jeans - Jeans Skinny Fit - light blue,WOMEN,TROUSER,Super high waist stretchy skinny jeans,PULL&BEAR,1999,1999,https://www.zalando.nl/pullandbear-jeans-skinny-fit-light-blue-puc21n0ey-k11.html,https://img01.ztat.net/article/spp-media-p1/3f2fa11cb692441abbedecced8d8be6e/1c189c9f0830416f97a9878127e1198c.jpg?imwidth=103&filter=packshot
N1241E18R-Q11,ONE TIGHT - Legging - black,WOMEN,TROUSER,ONE TIGHT,Nike Performance,3995,3995,https://www.zalando.nl/nike-performance-legging-black-n1241e18r-q11.html,https://img01.ztat.net/article/spp-media-p1/20646ca723c73a7fbc2bad940c95aaac/482c1583b517488db2b2b0c6d1022958.jpg?imwidth=103&filter=packshot
M9121E41U-A11,SOFIA - Overhemdblouse - off white,WOMEN,SHIRT,SOFIA,Mango,2599,999,https://www.zalando.nl/mango-overhemdblouse-off-white-m9121e41u-a11.html,https://img01.ztat.net/article/spp-media-p1/74f540dfc6794d53bd7a2ee313e0fe93/89a9c57509424b79b9cd1d9a207f7584.jpg?imwidth=103&filter=packshot
N1241E15M-Q13,NIKE PRO TIGHTS - Legging - black,WOMEN,TROUSER,NIKE PRO TIGHTS,Nike Performance,4495,3385,https://www.zalando.nl/nike-performance-legging-black-n1241e15m-q13.html,https://img01.ztat.net/article/spp-media-p1/0fcd00e8617236ffb11f7149eb2da2ff/7c117f15ba6041d59110685019d47b53.jpg?imwidth=103&filter=packshot
